Date,Open,High,Low,Close,Volume
06/06/2004 00:00,384,384.8,382.8,384.1,272
13/06/2004 00:00,384.3,395.8,381.1,394.3,9692
20/06/2004 00:00,394.3,402.8,392.1,401.1,8509
27/06/2004 00:00,401.8,404.6,390.3,397.8,9682
04/07/2004 00:00,397.8,408.6,388.5,407.1,3507
11/07/2004 00:00,407.3,408.3,399.6,406.1,6227
18/07/2004 00:00,405.5,407.5,386.5,389.3,8279
25/07/2004 00:00,389.3,393.1,384.5,390.5,13575
01/08/2004 00:00,390.3,400.3,388.1,398.8,11955
08/08/2004 00:00,399.1,400.6,391.8,398.1,8836
15/08/2004 00:00,398.3,413.8,397.6,412.2,6438
22/08/2004 00:00,411.8,411.8,400.8,402.3,11214
29/08/2004 00:00,402.3,410.8,398.6,399.8,6689
05/09/2004 00:00,400.6,402.3,394.3,402.3,9470
12/09/2004 00:00,401.1,406.6,398.1,405,11576
19/09/2004 00:00,404.8,411.6,402.8,407.1,10078
26/09/2004 00:00,407.3,419.3,406.6,419,12630
03/10/2004 00:00,418.3,423.3,411.3,422.3,6942
10/10/2004 00:00,422.5,422.6,409.1,418.3,5509
17/10/2004 00:00,418.1,425.8,414.3,423.7,5724
24/10/2004 00:00,426,430.2,420.3,428.1,6326
31/10/2004 00:00,429.6,433.6,416.8,433.1,6481
07/11/2004 00:00,433.6,438.5,430.7,437.3,5903
14/11/2004 00:00,438.3,447.8,434.8,446.6,8203
21/11/2004 00:00,446.3,454.8,445.5,451.3,3526
28/11/2004 00:00,451.3,456.3,446.6,448.3,5187
05/12/2004 00:00,455.1,455.8,431.5,433.7,10304
12/12/2004 00:00,434.3,442.3,434.1,441,6067
19/12/2004 00:00,441.3,443.6,438.3,441.8,3003
26/12/2004 00:00,442.6,445.1,433.1,437,3970
02/01/2005 00:00,437.1,437.3,416.5,418.6,6861
09/01/2005 00:00,419.1,427.3,418.3,422.6,8541
16/01/2005 00:00,421.8,427.8,419.6,426.7,6582
23/01/2005 00:00,426.5,427.6,420.3,426.5,8359
30/01/2005 00:00,425.5,425.5,413.3,414.2,9038
06/02/2005 00:00,413.8,421.6,409.8,420.3,9469
13/02/2005 00:00,420.5,428.1,420.5,426.8,9953
20/02/2005 00:00,430.1,436.3,429.8,434.8,8002
27/02/2005 00:00,434.6,437.7,428.3,433.8,9004
06/03/2005 00:00,433.8,446.6,431.8,444.3,5338
13/03/2005 00:00,444.8,444.8,435.5,438.8,4675
20/03/2005 00:00,439.2,439.2,423.5,423.8,5063
27/03/2005 00:00,424.3,428.5,423.1,425.1,6399
03/04/2005 00:00,425.1,428,421.8,426.1,7607
10/04/2005 00:00,425.8,429.6,421.7,423.8,8335
17/04/2005 00:00,424,435.2,422.8,433.7,7461
24/04/2005 00:00,433.7,437.2,429.8,434,7943
01/05/2005 00:00,433.8,434.1,423.2,425.3,8558
08/05/2005 00:00,425.3,428,418.2,419.3,10833
15/05/2005 00:00,419.8,422.8,416.3,417.1,7774
22/05/2005 00:00,417.2,419.8,415.3,419.6,6824
29/05/2005 00:00,417.1,424.3,413.3,421.8,3111
05/06/2005 00:00,422.3,427.8,420.6,426.6,3849
12/06/2005 00:00,425.8,438.8,423.5,437.1,4139
19/06/2005 00:00,437,443.2,433.6,439.3,3975
26/06/2005 00:00,439.3,439.8,426.3,426.8,3520
03/07/2005 00:00,427.2,428.3,421.3,422.6,2783
10/07/2005 00:00,423.3,427.3,417.8,421.1,3828
17/07/2005 00:00,421.3,426.5,418.5,424.5,2978
24/07/2005 00:00,424.7,430.3,421.5,429.3,3850
31/07/2005 00:00,429.2,438.8,428.6,436.8,4805
07/08/2005 00:00,436.7,449.1,432.6,445.7,4292
14/08/2005 00:00,445.7,446.5,435.6,435.8,4318
21/08/2005 00:00,436.1,440.3,435.3,437.2,3935
28/08/2005 00:00,438.1,446.8,429,443.8,3852
04/09/2005 00:00,444.2,449.3,442.3,448.3,4234
11/09/2005 00:00,449.8,459.8,444.5,459.3,6640
18/09/2005 00:00,458.8,475,458.2,462.8,6365
25/09/2005 00:00,462.2,474.1,457.6,468.8,5932
02/10/2005 00:00,467.3,475.6,462.8,474.3,5327
09/10/2005 00:00,473.8,480,465.3,469.2,6602
16/10/2005 00:00,469,475,459.5,466.3,5660
23/10/2005 00:00,465.6,475.5,462.8,472.1,5432
30/10/2005 00:00,472.3,472.8,454.8,456.3,5412
06/11/2005 00:00,456.7,469.6,455.8,468.2,4952
13/11/2005 00:00,468.7,488.6,466.1,484.8,6556
20/11/2005 00:00,484.8,495,484.3,491.6,3279
27/11/2005 00:00,498.1,506.3,490.3,502.8,4775
04/12/2005 00:00,503.8,530.2,503.5,525.7,5994
11/12/2005 00:00,528.2,540.5,492.8,502.7,8550
18/12/2005 00:00,501.3,508.8,489.3,502.3,6582
25/12/2005 00:00,505.8,517.6,504.8,514.6,3781
01/01/2006 00:00,516.8,539.7,516.3,539.2,5455
08/01/2006 00:00,539.2,557.2,535,556.7,9556
15/01/2006 00:00,558.2,567.6,540.2,554,9799
22/01/2006 00:00,551.5,566.1,549,559,7151
29/01/2006 00:00,557.7,574.7,557.5,568.2,6271
05/02/2006 00:00,568.2,573.2,544.7,550.5,7867
12/02/2006 00:00,548.6,554,534.6,551.6,6907
19/02/2006 00:00,552.2,559.5,547,558.5,3611
26/02/2006 00:00,558.5,570.7,551.7,564.7,4181
05/03/2006 00:00,566.1,568,533.7,540.5,4463
12/03/2006 00:00,540,557.1,538.2,553.6,3759
19/03/2006 00:00,554.2,560.7,544.7,559.6,3366
26/03/2006 00:00,559.5,589.1,558.2,583.5,4981
02/04/2006 00:00,572.2,597.7,572.2,588.3,4663
09/04/2006 00:00,588.3,603.7,588,596,4013
16/04/2006 00:00,605.5,645.2,603.2,633.5,6432
23/04/2006 00:00,638.5,655.5,618.2,653.7,5611
30/04/2006 00:00,654.1,684.2,650.7,683.2,7043
07/05/2006 00:00,680.7,729.7,670.5,714.2,7600
14/05/2006 00:00,712.7,719.7,650.6,657.2,16307
21/05/2006 00:00,655.1,674.5,635.6,651.2,10315
28/05/2006 00:00,651.5,664.6,618.7,637.7,8165
04/06/2006 00:00,638.5,645.1,600.6,607.1,15115
11/06/2006 00:00,604.7,611.2,542.5,580.6,14154
18/06/2006 00:00,579,594.7,560.7,583,7805
25/06/2006 00:00,584,616,576.7,615.2,5604
02/07/2006 00:00,617,637,614.1,628.7,3372
09/07/2006 00:00,628.5,667.2,620.2,663.6,5542
16/07/2006 00:00,670.1,676,615.7,619.2,6529
23/07/2006 00:00,618.1,640.2,602.1,634.2,5131
30/07/2006 00:00,637,655.5,629,646,4754
06/08/2006 00:00,646,654.6,626.2,632,4736
13/08/2006 00:00,628.7,632.7,607,614.2,4654
20/08/2006 00:00,614.7,630,613.2,622,4582
27/08/2006 00:00,623,627.5,607.2,624.7,4509
03/09/2006 00:00,628.7,640.2,606.2,610.2,6089
10/09/2006 00:00,608.7,608.7,570.2,578.7,16051
17/09/2006 00:00,582.2,592.2,571.7,589.1,16964
24/09/2006 00:00,588.6,606.5,581.7,597.7,9242
01/10/2006 00:00,598.2,603.6,559.2,573.2,18276
08/10/2006 00:00,574.6,589.7,568.7,589.6,13045
15/10/2006 00:00,592.7,602,585.7,591.1,11641
22/10/2006 00:00,590.5,599.7,572.2,599.2,14831
29/10/2006 00:00,598.2,629,597.6,626.9,15986
05/11/2006 00:00,628.2,636.2,612.7,628.2,19249
12/11/2006 00:00,628.2,632.2,614.2,621.2,17763
19/11/2006 00:00,620.7,634.2,619.7,627.9,8039
26/11/2006 00:00,640.5,649.6,632.5,645,12725
03/12/2006 00:00,647,648.2,622.7,624.6,16158
10/12/2006 00:00,625,630.7,614.1,614.7,11522
17/12/2006 00:00,615.6,624.2,611.1,619.2,9991
24/12/2006 00:00,624.5,636.2,623.2,636.2,5380
31/12/2006 00:00,638.2,644.7,601.5,606.7,11150
07/01/2007 00:00,608.2,627.2,603.2,626.5,14964
14/01/2007 00:00,625.6,636.2,619.7,634.7,11437
21/01/2007 00:00,635.2,654.2,631.6,645.5,14043
28/01/2007 00:00,647.1,661,640.7,647.2,12321
04/02/2007 00:00,648.6,668.6,645.7,666.2,11928
11/02/2007 00:00,666.6,671.5,659.6,668.5,17784
18/02/2007 00:00,667.7,688,655.3,682,15719
25/02/2007 00:00,683.3,688.1,639.1,642,26389
04/03/2007 00:00,643.2,657.7,632.5,648.7,24171
11/03/2007 00:00,650.1,655.1,636.5,652.7,17966
18/03/2007 00:00,653.7,666.3,651.7,656.9,15701
25/03/2007 00:00,657.2,669,655,663.2,16450
01/04/2007 00:00,664.5,675.3,655.9,673.9,17725
08/04/2007 00:00,670.6,685.4,670.3,684.6,18398
15/04/2007 00:00,686.6,693.2,678.7,691.3,20276
22/04/2007 00:00,692.8,693.3,670.4,680.9,21086
29/04/2007 00:00,681,690.2,667.2,688.3,16463
06/05/2007 00:00,688.5,690.4,664,670.5,18240
13/05/2007 00:00,671.1,674.7,653.3,661.2,18826
20/05/2007 00:00,662.8,664.9,651.5,655.5,12415
27/05/2007 00:00,655.2,671.3,651.6,671.2,12253
03/06/2007 00:00,670.9,673.6,643.6,648.2,16539
10/06/2007 00:00,649.1,655.5,642.7,654.8,14928
17/06/2007 00:00,656,661.8,647.5,653.6,15259
24/06/2007 00:00,653.5,653.7,639.8,649.1,15578
01/07/2007 00:00,650.1,658.3,645,655.3,12599
08/07/2007 00:00,656,668.8,653.3,666.4,19584
15/07/2007 00:00,666.8,686.4,662.3,682.7,17885
22/07/2007 00:00,683.2,687.5,656.5,660.6,21877
29/07/2007 00:00,660.8,675.1,658.8,672.5,18662
05/08/2007 00:00,673.3,676.4,657.7,672.4,20647
12/08/2007 00:00,671.8,671.8,641.6,657.2,25748
19/08/2007 00:00,656,668.6,652.7,668,24300
26/08/2007 00:00,667.7,674.5,660.7,672.8,20535
02/09/2007 00:00,672.5,706.6,671,700.2,20156
09/09/2007 00:00,699.6,717,698.7,707,26674
16/09/2007 00:00,706.6,739.1,706.6,730.8,35416
23/09/2007 00:00,729.9,745.4,721.6,742.9,28515
30/09/2007 00:00,743.7,747.4,720.3,742.2,28105
07/10/2007 00:00,740.6,753.4,726.3,749.3,32530
14/10/2007 00:00,747.3,771.4,747.3,764.8,42464
21/10/2007 00:00,766.4,785.5,745,784.7,35019
28/10/2007 00:00,788.4,807.6,776.5,806.3,46875
04/11/2007 00:00,804.2,845.4,800.6,831.6,64292
11/11/2007 00:00,829.1,831.2,782.2,785.7,65915
18/11/2007 00:00,790,825.2,772.5,823.3,30848
25/11/2007 00:00,824.8,836.6,778.7,782.7,58657
02/12/2007 00:00,784.6,806.5,776.8,794.4,50392
09/12/2007 00:00,795.2,816.9,787.4,794.4,46786
16/12/2007 00:00,795.1,812,784.8,811.2,34518
23/12/2007 00:00,810.4,839.4,807.9,839.1,8664
30/12/2007 00:00,841.1,869,828.5,859.2,31177
06/01/2008 00:00,861.5,897.8,854.8,894.9,60607
13/01/2008 00:00,896.9,914,869.8,882.7,67883
20/01/2008 00:00,881.9,923.3,849.6,913.5,59960
27/01/2008 00:00,916.3,936.7,903.5,905,54923
03/02/2008 00:00,909.7,922.4,883.9,922.1,48066
10/02/2008 00:00,922.9,926.7,895.8,902,48055
17/02/2008 00:00,904,953.4,899.9,944.7,46540
24/02/2008 00:00,946.5,975.8,926,973.5,47662
02/03/2008 00:00,976.1,992.5,956.1,972.5,54693
09/03/2008 00:00,973.6,1006.7,960.6,1002.5,47755
16/03/2008 00:00,1017,1032.2,904.4,917.6,38217
23/03/2008 00:00,914,954.7,906.1,931.2,36792
30/03/2008 00:00,928.2,940.5,871.8,913.4,43887
06/04/2008 00:00,915.5,939.3,902.7,924.7,35149
13/04/2008 00:00,920.1,952.4,904.4,916.2,30155
20/04/2008 00:00,917.6,928.4,877.5,885.8,32017
27/04/2008 00:00,887.1,895.4,844.9,855.9,37110
